year,month,splticrm,nextmonth_return
2002,2,B-,48
2002,2,BB,155
2002,2,BB+,112
2002,2,BB-,149
2002,2,BBB,228
2002,2,BBB+,186
2002,2,BBB-,206
2002,2,CC,13
2002,2,CCC,18
2002,2,CCC+,25
2002,2,CCC-,9
2002,2,D,58
2002,2,SD,10
2002,3,A,150
2002,3,A+,120
2002,3,A-,166
2002,3,AA,28
2002,3,AA+,7
2002,3,AA-,75
2002,3,AAA,30
2002,3,B,84
2002,3,B+,159
2002,3,B-,50
2002,3,BB,155
2002,3,BB+,112
2002,3,BB-,153
2002,3,BBB,233
2002,3,BBB+,182
2002,3,BBB-,208
2002,3,CC,14
2002,3,CCC,15
2002,3,CCC+,24
2002,3,CCC-,8
2002,3,D,66
2002,3,SD,8
2002,4,A,151
2002,4,A+,117
2002,4,A-,164
2002,4,AA,26
2002,4,AA+,7
2002,4,AA-,72
2002,4,AAA,30
2002,4,B,85
2002,4,B+,160
2002,4,B-,45
2002,4,BB,155
2002,4,BB+,116
2002,4,BB-,157
2002,4,BBB,237
2002,4,BBB+,188
2002,4,BBB-,211
2002,4,CC,12
2002,4,CCC,14
2002,4,CCC+,26
2002,4,CCC-,7
2002,4,D,48
2002,4,SD,9
2002,5,A,154
2002,5,A+,118
2002,5,A-,157
2002,5,AA,25
2002,5,AA+,7
2002,5,AA-,71
2002,5,AAA,30
2002,5,B,87
2002,5,B+,163
2002,5,B-,45
2002,5,BB,154
2002,5,BB+,116
2002,5,BB-,158
2002,5,BBB,247
2002,5,BBB+,185
2002,5,BBB-,209
2002,5,CC,13
2002,5,CCC,14
2002,5,CCC+,23
2002,5,CCC-,6
2002,5,D,50
2002,5,SD,9
2002,6,A,155
2002,6,A+,119
2002,6,A-,152
2002,6,AA,22
2002,6,AA+,7
2002,6,AA-,71
2002,6,AAA,31
2002,6,B,86
2002,6,B+,161
2002,6,B-,45
2002,6,BB,148
2002,6,BB+,118
2002,6,BB-,164
2002,6,BBB,252
2002,6,BBB+,180
2002,6,BBB-,208
2002,6,CC,11
2002,6,CCC,15
2002,6,CCC+,24
2002,6,CCC-,6
2002,6,D,46
2002,6,SD,8
2002,7,A,151
2002,7,A+,121
2002,7,A-,157
2002,7,AA,24
2002,7,AA+,7
2002,7,AA-,71
2002,7,AAA,29
2002,7,B,89
2002,7,B+,160
2002,7,B-,44
2002,7,BB,147
2002,7,BB+,118
2002,7,BB-,171
2002,7,BBB,251
2002,7,BBB+,177
2002,7,BBB-,210
2002,7,CC,12
2002,7,CCC,14
2002,7,CCC+,25
2002,7,CCC-,5
2002,7,D,43
2002,7,SD,8
2002,8,A,156
2002,8,A+,117
2002,8,A-,159
2002,8,AA,24
2002,8,AA+,7
2002,8,AA-,70
2002,8,AAA,29
2002,8,B,82
2002,8,B+,152
2002,8,B-,45
2002,8,BB,150
2002,8,BB+,117
2002,8,BB-,172
2002,8,BBB,248
2002,8,BBB+,179
2002,8,BBB-,213
2002,8,CC,12
2002,8,CCC,19
2002,8,CCC+,24
2002,8,CCC-,6
2002,8,D,34
2002,8,SD,11
2002,9,A,159
2002,9,A+,119
2002,9,A-,167
2002,9,AA,25
2002,9,AA+,7
2002,9,AA-,65
2002,9,AAA,29
2002,9,B,85
2002,9,B+,143
2002,9,B-,46
2002,9,BB,155
2002,9,BB+,119
2002,9,BB-,178
2002,9,BBB,250
2002,9,BBB+,181
2002,9,BBB-,215
2002,9,CC,9
2002,9,CCC,18
2002,9,CCC+,27
2002,9,CCC-,6
2002,9,D,39
2002,9,SD,11
2002,10,A,155
2002,10,A+,126
2002,10,A-,169
2002,10,AA,27
2002,10,AA+,6
2002,10,AA-,58
2002,10,AAA,31
2002,10,B,89
2002,10,B+,138
2002,10,B-,46
2002,10,BB,150
2002,10,BB+,118
2002,10,BB-,184
2002,10,BBB,259
2002,10,BBB+,173
2002,10,BBB-,217
2002,10,CC,9
2002,10,CCC,19
2002,10,CCC+,26
2002,10,CCC-,6
2002,10,D,44
2002,10,SD,10
2002,11,A,152
2002,11,A+,127
2002,11,A-,172
2002,11,AA,27
2002,11,AA+,6
2002,11,AA-,58
2002,11,AAA,31
2002,11,B,79
2002,11,B+,142
2002,11,B-,46
2002,11,BB,153
2002,11,BB+,116
2002,11,BB-,185
2002,11,BBB,264
2002,11,BBB+,171
2002,11,BBB-,212
2002,11,CC,16
2002,11,CCC,19
2002,11,CCC+,26
2002,11,CCC-,6
2002,11,D,41
2002,11,SD,8
2002,12,A,149
2002,12,A+,131
2002,12,A-,171
2002,12,AA,27
2002,12,AA+,6
2002,12,AA-,53
2002,12,AAA,30
2002,12,B,87
2002,12,B+,135
2002,12,B-,45
2002,12,BB,153
2002,12,BB+,121
2002,12,BB-,187
2002,12,BBB,262
2002,12,BBB+,171
2002,12,BBB-,209
2002,12,CC,12
2002,12,CCC,18
2002,12,CCC+,25
2002,12,CCC-,7
2002,12,D,38
2002,12,SD,8
2003,1,A,148
2003,1,A+,128
2003,1,A-,175
2003,1,AA,26
2003,1,AA+,6
2003,1,AA-,54
2003,1,AAA,29
2003,1,B,83
2003,1,B+,131
2003,1,B-,45
2003,1,BB,149
2003,1,BB+,120
2003,1,BB-,191
2003,1,BBB,267
2003,1,BBB+,171
2003,1,BBB-,209
2003,1,CC,15
2003,1,CCC,19
2003,1,CCC+,25
2003,1,CCC-,9
2003,1,D,34
2003,1,SD,9
2003,2,A,150
2003,2,A+,126
2003,2,A-,173
2003,2,AA,26
2003,2,AA+,6
2003,2,AA-,54
2003,2,AAA,30
2003,2,B,81
2003,2,B+,134
2003,2,B-,45
2003,2,BB,147
2003,2,BB+,126
2003,2,BB-,185
2003,2,BBB,262
2003,2,BBB+,174
2003,2,BBB-,204
2003,2,CC,10
2003,2,CCC,20
2003,2,CCC+,25
2003,2,CCC-,10
2003,2,D,36
2003,2,SD,13
2003,3,A,151
2003,3,A+,122
2003,3,A-,170
2003,3,AA,25
2003,3,AA+,6
2003,3,AA-,56
2003,3,AAA,30
2003,3,B,82
2003,3,B+,137
2003,3,B-,39
2003,3,BB,148
2003,3,BB+,128
2003,3,BB-,184
2003,3,BBB,266
2003,3,BBB+,169
2003,3,BBB-,206
2003,3,CC,9
2003,3,CCC,20
2003,3,CCC+,23
2003,3,CCC-,10
2003,3,D,37
2003,3,SD,12
2003,4,A,150
2003,4,A+,123
2003,4,A-,172
2003,4,AA,25
2003,4,AA+,6
2003,4,AA-,54
2003,4,AAA,30
2003,4,B,75
2003,4,B+,141
2003,4,B-,38
